varname,label,dtype,unique,missing_pct
VCF0218,THERMOMETER - DEMOCRATIC PARTY,object,100,0.0
VCF0219,THERMOMETER - MIDDLE CLASS PEOPLE,object,61,0.0
VCF0220,THERMOMETER - PEOPLE ON WELFARE,object,79,0.0
VCF0221,THERMOMETER - POLITICAL INDEPENDENTS,object,27,0.0
VCF0222,THERMOMETER - POLITICAL PARTIES,object,48,0.0
VCF0223,THERMOMETER - POOR PEOPLE,object,91,0.0
VCF0224,THERMOMETER - REPUBLICAN PARTY,object,99,0.0
VCF0225,THERMOMETER - WOMENS LIBBERS,object,52,0.0
VCF0226,THERMOMETER - YOUNG PEOPLE,object,32,0.0
VCF0227,THERMOMETER - ASIAN-AMERICANS,object,96,0.0
VCF0228,THERMOMETER - CONGRESS,object,100,0.0
VCF0229,THERMOMETER - ENVIRONMENTALISTS,object,56,0.0
VCF0230,THERMOMETER - ANTI-ABORTIONISTS,object,31,0.0
VCF0231,THERMOMETER - FEDERAL GOVERNMENT,object,72,0.0
VCF0232,THERMOMETER - GAYS AND LESBIANS,object,98,0.0
VCF0233,THERMOMETER - ILLEGAL ALIENS,object,99,0.0
VCF0234,THERMOMETER - CHRISTIAN FUNDAMENTALISTS,object,100,0.0
VCF0235,THERMOMETER - RADICAL STUDENTS,object,35,0.0
VCF0236,THERMOMETER - FARMERS,object,25,0.0
VCF0253,THERMOMETER - FEMINISTS,object,100,0.0
VCF0290,THERMOMETER AVERAGE - MAJOR PARTIES,object,102,0.0
VCF0291,THERMOMETER INDEX - MAJOR PARTIES,object,101,0.0
VCF0301,nan,object,9,0.0
VCF0302,nan,object,8,0.0
VCF0303,nan,object,5,0.0
VCF0305,nan,object,6,0.0
VCF0306,PARTY IDENTIFICATION OF RESPONDENT’S FATHER,object,7,0.0
VCF0307,PARTY IDENTIFICATION OF RESPONDENT’S MOTHER,object,7,0.0
VCF0308,POLITICAL INTEREST OF RESPONDENT’S FATHER,object,6,0.0
VCF0309,POLITICAL INTEREST OF RESPONDENT’S MOTHER,object,6,0.0
VCF0310,INTEREST IN THE ELECTIONS,object,6,0.0
VCF0311,nan,object,4,0.0
VCF0312,nan,object,4,0.0
VCF0313,INTEREST IN PUBLIC AFFAIRS,object,7,0.0
VCF0314,nan,object,8,0.0
VCF0315,nan,object,8,0.0
VCF0316,DEMOCRATIC PARTY: AFFECT (LIKES-DISLIKES),object,13,0.0
VCF0317,DEMOCRATIC PARTY: SALIENCE (LIKES-DISLIKES),object,13,0.0
VCF0318,nan,object,8,0.0
VCF0319,nan,object,8,0.0
VCF0320,REPUBLICAN PARTY: AFFECT (LIKES-DISLIKES),object,13,0.0
VCF0321,REPUBLICAN PARTY: SALIENCE (LIKES-DISLIKES),object,13,0.0
VCF0322,MAJOR PARTIES: AFFECT (LIKES-DISLIKES),object,23,0.0
VCF0323,MAJOR PARTIES: SALIENCE (LIKES-DISLIKES),object,23,0.0
VCF0324,MAJOR PARTIES: RELATIVE SALIENCE (LIKES-DISLIKES),object,20,0.0
VCF0338,PRESIDENT- INTELLIGENT,object,8,0.0
VCF0339,PRESIDENT- COMPASSIONATE,object,8,0.0
VCF0340,PRESIDENT- DECENT,object,8,0.0
VCF0341,PRESIDENT- INSPIRING,object,8,0.0
VCF0342,PRESIDENT- KNOWLEDGEABLE,object,8,0.0
VCF0343,PRESIDENT- MORAL,object,8,0.0
VCF0344,PRESIDENT- LEADERSHIP,object,8,0.0
VCF0345,PRESIDENT- CARES,object,8,0.0
VCF0346,PRESIDENT- ANGRY,object,6,0.0
VCF0347,PRESIDENT- AFRAID,object,6,0.0
VCF0348,PRESIDENT- HOPEFUL,object,6,0.0
VCF0349,PRESIDENT- PROUD,object,6,0.0
VCF0350,DEMOCRATIC PRESIDENTIAL CAND- INTELLIGENT,object,7,0.0
VCF0351,DEMOCRATIC PRESIDENTIAL CAND- COMPASSIONATE,object,7,0.0
VCF0352,DEMOCRATIC PRESIDENTIAL CAND- DECENT,object,7,0.0
VCF0353,DEMOCRATIC PRESIDENTIAL CAND- INSPIRING,object,7,0.0
VCF0354,DEMOCRATIC PRESIDENTIAL CAND- KNOWLEDGEABLE,object,7,0.0
VCF0355,DEMOCRATIC PRESIDENTIAL CAND- MORAL,object,7,0.0
VCF0356,DEMOCRATIC PRESIDENTIAL CAND- LEADERSHIP,object,7,0.0
VCF0357,DEMOCRATIC PRESIDENTIAL CAND- CARES,object,7,0.0
VCF0358,DEMOCRATIC PRESIDENTIAL CAND- ANGRY,object,5,0.0
VCF0359,DEMOCRATIC PRESIDENTIAL CAND- AFRAID,object,5,0.0
VCF0360,DEMOCRATIC PRESIDENTIAL CAND- HOPEFUL,object,5,0.0
VCF0361,DEMOCRATIC PRESIDENTIAL CAND- PROUD,object,5,0.0
VCF0362,REPUBLICAN PRESIDENTIAL CAND- INTELLIGENT,object,7,0.0
VCF0363,REPUBLICAN PRESIDENTIAL CAND- COMPASSIONATE,object,7,0.0
VCF0364,REPUBLICAN PRESIDENTIAL CAND- DECENT,object,7,0.0
VCF0365,REPUBLICAN PRESIDENTIAL CAND- INSPIRING,object,7,0.0
VCF0366,REPUBLICAN PRESIDENTIAL CAND- KNOWLEDGEABLE,object,7,0.0
VCF0367,REPUBLICAN PRESIDENTIAL CAND- MORAL,object,7,0.0
VCF0368,REPUBLICAN PRESIDENTIAL CAND- LEADERSHIP,object,7,0.0
VCF0369,REPUBLICAN PRESIDENTIAL CAND- CARES,object,7,0.0
VCF0370,REPUBLICAN PRESIDENTIAL CAND- ANGRY,object,5,0.0
VCF0371,REPUBLICAN PRESIDENTIAL CAND- AFRAID,object,5,0.0
VCF0372,REPUBLICAN PRESIDENTIAL CAND- HOPEFUL,object,5,0.0
VCF0373,REPUBLICAN PRESIDENTIAL CAND- PROUD,object,5,0.0
VCF0374,LIKES ANYTHING ABOUT DEMOCRATIC PARTY,object,5,0.0
VCF0375a,nan,object,273,0.0
VCF0375b,nan,object,15,0.0
VCF0375c,nan,object,155,0.0
VCF0375d,nan,object,11,0.0
VCF0376a,nan,object,294,0.0
VCF0376b,nan,object,13,0.0
VCF0376c,nan,object,163,0.0
VCF0376d,nan,object,11,0.0
VCF0377a,nan,object,249,0.0
VCF0377b,nan,object,12,0.0
VCF0377c,nan,object,151,0.0
VCF0377d,nan,object,11,0.0
VCF0378a,nan,object,194,0.0
VCF0378b,nan,object,10,0.0
VCF0378c,nan,object,122,0.0
VCF0378d,nan,object,11,0.0
VCF0379a,nan,object,144,0.0
VCF0379b,nan,object,10,0.0
VCF0379c,nan,object,90,0.0
VCF0379d,nan,object,11,0.0
VCF0380,DISLIKES ANYTHING ABOUT DEMOCRATIC PARTY,object,5,0.0
VCF0381a,nan,object,346,0.0
VCF0381b,nan,object,15,0.0
VCF0381c,nan,object,188,0.0
VCF0381d,nan,object,11,0.0
VCF0382a,nan,object,343,0.0
VCF0382b,nan,object,13,0.0
VCF0382c,nan,object,185,0.0
VCF0382d,nan,object,11,0.0
VCF0383a,nan,object,275,0.0
VCF0383b,nan,object,13,0.0
VCF0383c,nan,object,162,0.0
VCF0383d,nan,object,11,0.0
VCF0384a,nan,object,207,0.0
VCF0384b,nan,object,12,0.0
VCF0384c,nan,object,132,0.0
VCF0384d,nan,object,11,0.0
VCF0385a,nan,object,161,0.0
VCF0385b,nan,object,11,0.0
VCF0385c,nan,object,92,0.0
VCF0385d,nan,object,11,0.0
VCF0386,LIKES ANYTHING ABOUT REPUBLICAN PARTY,object,5,0.0
VCF0387a,nan,object,324,0.0
VCF0387b,nan,object,15,0.0
VCF0387c,nan,object,168,0.0
VCF0387d,nan,object,11,0.0
VCF0388a,nan,object,322,0.0
VCF0388b,nan,object,13,0.0
VCF0388c,nan,object,176,0.0
VCF0388d,nan,object,11,0.0
VCF0389a,nan,object,268,0.0
VCF0389b,nan,object,13,0.0
VCF0389c,nan,object,156,0.0
VCF0389d,nan,object,11,0.0
VCF0390a,nan,object,190,0.0
VCF0390b,nan,object,10,0.0
VCF0390c,nan,object,123,0.0
VCF0390d,nan,object,11,0.0
VCF0391a,nan,object,125,0.0
VCF0391b,nan,object,10,0.0
VCF0391c,nan,object,65,0.0
VCF0391d,nan,object,11,0.0
VCF0392,DISLIKES ANYTHING ABOUT REPUBLICAN PARTY,object,5,0.0
VCF0393a,nan,object,355,0.0
VCF0393b,nan,object,15,0.0
VCF0393c,nan,object,181,0.0
VCF0393d,nan,object,11,0.0
VCF0394a,nan,object,341,0.0
VCF0394b,nan,object,13,0.0
VCF0394c,nan,object,175,0.0
VCF0394d,nan,object,11,0.0
VCF0395a,nan,object,287,0.0
VCF0395b,nan,object,12,0.0
VCF0395c,nan,object,150,0.0
VCF0395d,nan,object,11,0.0
VCF0396a,nan,object,223,0.0
VCF0396b,nan,object,13,0.0
VCF0396c,nan,object,119,0.0
VCF0396d,nan,object,11,0.0
VCF0397a,nan,object,176,0.0
VCF0397b,nan,object,12,0.0
VCF0397c,nan,object,79,0.0
VCF0397d,nan,object,11,0.0
VCF0401,nan,object,8,0.0
VCF0402,nan,object,8,0.0
VCF0403,nan,object,13,0.0
VCF0404,nan,object,13,0.0
VCF0405,nan,object,8,0.0
VCF0406,nan,object,8,0.0
VCF0407,nan,object,13,0.0
VCF0408,nan,object,13,0.0
VCF0409,PRESIDENTIAL CANDIDATES: AFFECT (LIKES-DISLIKES),object,23,0.0
VCF0410,PRESIDENTIAL CANDIDATES: SALIENCE (LIKES-DISLIKES),object,23,0.0
VCF0411,nan,object,20,0.0
VCF0412,THERMOMETER AVERAGE - PRESIDENTIAL CANDIDATES,object,101,0.0
VCF0413,THERMOMETER INDEX - PRESIDENTIAL CANDIDATES,object,101,0.0
VCF0414,nan,object,98,0.0
VCF0415,nan,object,101,0.0
VCF0424,nan,object,100,0.0
VCF0425,nan,object,98,0.0
VCF0426,nan,object,100,0.0
VCF0427,nan,object,100,0.0
VCF0428,THERMOMETER - U.S. PRESIDENT,object,101,0.0
VCF0429,THERMOMETER - VICE-PRESIDENT,object,88,0.0
VCF0432,THERMOMETER - HUBERT HUMPHREY,object,36,0.0
VCF0433,THERMOMETER - TED KENNEDY,object,51,0.0
VCF0434,THERMOMETER - EUGENE MCCARTHY,object,29,0.0
VCF0435,THERMOMETER - GEORGE MCGOVERN,object,37,0.0
VCF0436,THERMOMETER - WALTER MONDALE,object,40,0.0
VCF0437,THERMOMETER - EDMUND MUSKIE,object,28,0.0
VCF0438,THERMOMETER - GEORGE BUSH SR.,object,53,0.0
VCF0439,THERMOMETER - GEORGE WALLACE,object,43,0.0
VCF0440,THERMOMETER - SPIRO AGNEW,object,31,0.0
VCF0441,THERMOMETER - GERALD FORD,object,41,0.0
VCF0442,THERMOMETER - RICHARD NIXON,object,46,0.0
VCF0443,THERMOMETER - RONALD REAGAN,object,53,0.0
VCF0444,THERMOMETER - NELSON ROCKEFELLER,object,31,0.0
VCF0445,THERMOMETER - ROBERT DOLE,object,41,0.0
VCF0446,THERMOMETER - JIMMY CARTER,object,42,0.0
VCF0447,THERMOMETER - BILL CLINTON,object,101,0.0
VCF0448,THERMOMETER - AL GORE,object,76,0.0
VCF0449,THERMOMETER - ROSS PEROT,object,41,0.0
VCF0450,APPROVE OF PRESIDENT PERFORMANCE,object,5,0.0
VCF0451,nan,object,7,0.0
VCF0471,THERMOMETER - HILLARY CLINTON,object,100,0.0
VCF0472,THERMOMETER - PAT BUCHANAN,object,48,0.0
VCF0473,THERMOMETER - DAN QUAYLE,object,47,0.0
VCF0475,nan,object,5,0.0
VCF0476a,nan,object,343,0.0
VCF0476b,nan,object,15,0.0
VCF0476c,nan,object,194,0.0
VCF0476d,nan,object,13,0.0
VCF0477a,nan,object,335,0.0
VCF0477b,nan,object,13,0.0
VCF0477c,nan,object,186,0.0
VCF0477d,nan,object,10,0.0
VCF0478a,nan,object,295,0.0
VCF0478b,nan,object,12,0.0
VCF0478c,nan,object,166,0.0
VCF0478d,nan,object,11,0.0
VCF0479a,nan,object,244,0.0
VCF0479b,nan,object,13,0.0
VCF0479c,nan,object,146,0.0
VCF0479d,nan,object,11,0.0
VCF0480a,nan,object,194,0.0
VCF0480b,nan,object,12,0.0
VCF0480c,nan,object,109,0.0
VCF0480d,nan,object,10,0.0
VCF0481,nan,object,5,0.0
VCF0482a,nan,object,374,0.0
VCF0482b,nan,object,15,0.0
VCF0482c,nan,object,189,0.0
VCF0482d,nan,object,13,0.0
VCF0483a,nan,object,374,0.0
VCF0483b,nan,object,13,0.0
VCF0483c,nan,object,183,0.0
VCF0483d,nan,object,11,0.0
VCF0484a,nan,object,320,0.0
VCF0484b,nan,object,13,0.0
VCF0484c,nan,object,163,0.0
VCF0484d,nan,object,11,0.0
VCF0485a,nan,object,230,0.0
VCF0485b,nan,object,13,0.0
VCF0485c,nan,object,126,0.0
VCF0485d,nan,object,11,0.0
VCF0486a,nan,object,168,0.0
VCF0486b,nan,object,12,0.0
VCF0486c,nan,object,84,0.0
VCF0486d,nan,object,10,0.0
VCF0487,nan,object,5,0.0
VCF0488a,nan,object,353,0.0
VCF0488b,nan,object,15,0.0
VCF0488c,nan,object,194,0.0
VCF0488d,nan,object,13,0.0
VCF0489a,nan,object,334,0.0
VCF0489b,nan,object,13,0.0
VCF0489c,nan,object,186,0.0
VCF0489d,nan,object,10,0.0
VCF0490a,nan,object,298,0.0
VCF0490b,nan,object,12,0.0
VCF0490c,nan,object,179,0.0
VCF0490d,nan,object,11,0.0
VCF0491a,nan,object,224,0.0
VCF0491b,nan,object,12,0.0
VCF0491c,nan,object,158,0.0
VCF0491d,nan,object,11,0.0
VCF0492a,nan,object,171,0.0
VCF0492b,nan,object,12,0.0
VCF0492c,nan,object,134,0.0
VCF0492d,nan,object,10,0.0
VCF0493,nan,object,5,0.0
VCF0494a,nan,object,414,0.0
VCF0494b,nan,object,15,0.0
VCF0494c,nan,object,159,0.0
VCF0494d,nan,object,12,0.0
VCF0495a,nan,object,378,0.0
VCF0495b,nan,object,13,0.0
VCF0495c,nan,object,146,0.0
VCF0495d,nan,object,10,0.0
VCF0496a,nan,object,341,0.0
VCF0496b,nan,object,12,0.0
VCF0496c,nan,object,135,0.0
VCF0496d,nan,object,10,0.0
VCF0497a,nan,object,254,0.0
VCF0497b,nan,object,13,0.0
VCF0497c,nan,object,111,0.0
VCF0497d,nan,object,10,0.0
VCF0498a,nan,object,218,0.0
VCF0498b,nan,object,12,0.0
VCF0498c,nan,object,70,0.0
VCF0498d,nan,object,10,0.0
VCF0501,DIFFERENCE BETWEEN MAJOR PARTIES,object,5,0.0
VCF0502,nan,object,5,0.0
VCF0502a,nan,object,6,0.0
VCF0503,DEMOCRATIC PARTY- LIBERAL-CONSERVATIVE SCALE,object,10,0.0
VCF0504,REPUBLICAN PARTY- LIBERAL-CONSERVATIVE SCALE,object,10,0.0
VCF0507,nan,object,7,0.0
VCF0508,nan,object,10,0.0
VCF0509,nan,object,10,0.0
VCF0512,nan,object,6,0.0
VCF0513,DEMOCRATIC PARTY- GUARANTEED JOBS-LIVING SCALE,object,11,0.0
VCF0514,REPUBLICAN PARTY- GUARANTEED JOBS-LIVING SCALE,object,11,0.0
VCF0517,DEMOCRATIC PARTY- AID TO BLACKS SCALE,object,11,0.0
VCF0518,REPUBLICAN PARTY- AID TO BLACKS SCALE,object,11,0.0
VCF0521,WHICH PARTY FAVORS STRONGER GOVERNMENT,object,6,0.0
VCF0521a,nan,object,6,0.0
VCF0522,WHICH PARTY WILL BEST AVOID WAR/BIGGER WAR,object,6,0.0
VCF0523,WHICH PARTY FAVORS MILITARY SPENDING CUT,object,6,0.0
VCF0524,DEMOCRATIC PARTY- RIGHTS OF ACCUSED SCALE,object,10,0.0
VCF0525,REPUBLICAN PARTY- RIGHTS OF ACCUSED SCALE,object,10,0.0
VCF0528,DEMOCRATIC PARTY- URBAN UNREST SCALE,object,10,0.0
VCF0529,REPUBLICAN PARTY- URBAN UNREST SCALE,object,10,0.0
VCF0533,DEMOCRATIC PARTY- SCHOOL BUSING SCALE,object,10,0.0
VCF0534,REPUBLICAN PARTY- SCHOOL BUSING SCALE,object,10,0.0
VCF0537,DEMOCRATIC PARTY- WOMEN EQUAL ROLE SCALE,object,10,0.0
VCF0538,REPUBLICAN PARTY- WOMEN EQUAL ROLE SCALE,object,10,0.0
VCF0541,nan,object,10,0.0
VCF0542,nan,object,10,0.0
VCF0545,nan,object,10,0.0
VCF0546,REPUBLICAN PARTY- COOPERATION WITH U.S.S.R. SCALE,object,10,0.0
VCF0549,DEMOCRATIC PARTY- DEFENSE SPENDING SCALE,object,10,0.0
VCF0550,REPUBLICAN PARTY- DEFENSE SPENDING SCALE,object,10,0.0
VCF0601,APPROVE PARTICIPATION IN PROTESTS,object,5,0.0
VCF0602,APPROVE CIVIL DISOBEDIENCE,object,5,0.0
VCF0603,APPROVE DEMONSTRATIONS,object,5,0.0
VCF0604,": 1=0,2=33,3=67,4=100; VCF0605: 1=0, 2=100;",object,7,0.0
VCF0605,nan,object,5,0.0
VCF0606,",VCF0608: 1=0,2=50,3=100.",object,6,0.0
VCF0607,HOW MANY GOVERNMENT OFFICIALS ARE SMART,object,5,0.0
VCF0608,HOW MANY GOVERNMENT OFFICIALS ARE CROOKED,object,6,0.0
VCF0609,nan,object,6,0.0
VCF0610,CONGRESSMEN LOSE TOUCH WITH CONSTITUENTS,object,5,0.0
VCF0611,PARTIES ONLY INTERESTED IN VOTES,object,5,0.0
VCF0612,nan,object,5,0.0
VCF0613,nan,object,6,0.0
VCF0614,POLITICS AND GOVERNMENT SEEM TOO COMPLICATED,object,6,0.0
VCF0615,MATTER WHETHER RESPONDENT VOTES OR NOT,object,6,0.0
VCF0616,nan,object,6,0.0
VCF0617,SHOULD SOMEONE VOTE IF THEIR PARTY CAN’T WIN,object,5,0.0
VCF0618,A GOOD MANY LOCAL ELECTIONS UNIMPORTANT,object,5,0.0
VCF0619,nan,object,5,0.0
VCF0620,nan,object,5,0.0
VCF0621,nan,object,5,0.0
VCF0622,nan,object,6,0.0
VCF0623,nan,object,6,0.0
VCF0624,nan,object,6,0.0
VCF0625,nan,object,6,0.0
VCF0626,nan,object,5,0.0
VCF0627,BETTER TO PLAN LIFE A GOOD WAY AHEAD,object,5,0.0
VCF0628,SURE LIFE WOULD WORK OUT AS EXPECTED,object,5,0.0
VCF0629,CAN RUN LIFE AS WANTED,object,5,0.0
VCF0630,GOVERNMENT LEVEL RESPONDENT HAS MOST FAITH IN,object,6,0.0
